team1,team2,round,Group,ft.A,ft.B,et.A,et.B,pen.A,pen.B
Russia,Saudi Arabia,0,A,5,0,,,,
Egypt,Uruguay,0,A,0,1,,,,
Morocco,Iran,0,B,0,1,,,,
Portugal,Spain,0,B,3,3,,,,
France,Australia,0,C,2,1,,,,
Argentina,Iceland,0,D,1,1,,,,
Peru,Denmark,0,C,0,1,,,,
Croatia,Nigeria,0,D,2,0,,,,
Costa Rica,Serbia,0,E,0,1,,,,
Germany,Mexico,0,F,0,1,,,,
Brazil,Switzerland,0,E,1,1,,,,
Sweden,South Korea,0,F,1,0,,,,
Belgium,Panama,0,G,3,0,,,,
Tunisia,England,0,G,1,2,,,,
Colombia,Japan,0,H,1,2,,,,
Poland,Senegal,0,H,1,2,,,,
Russia,Egypt,0,A,3,1,,,,
Portugal,Morocco,0,B,1,0,,,,
Uruguay,Saudi Arabia,0,A,1,0,,,,
Iran,Spain,0,B,0,1,,,,
Denmark,Australia,0,C,1,1,,,,
France,Peru,0,C,1,0,,,,
Argentina,Croatia,0,D,0,3,,,,
Brazil,Costa Rica,,E,,,,,,
Nigeria,Iceland,,D,,,,,,
Serbia,Switzerland,,E,,,,,,
Belgium,Tunisia,,G,,,,,,
South Korea,Mexico,,F,,,,,,
Germany,Sweden,,F,,,,,,
England,Panama,,G,,,,,,
Japan,Senegal,,H,,,,,,
Poland,Colombia,,H,,,,,,
Saudi Arabia,Egypt,,A,,,,,,
Uruguay,Russia,,A,,,,,,
Iran,Portugal,,B,,,,,,
Spain,Morocco,,B,,,,,,
Australia,Peru,,C,,,,,,
Denmark,France,,C,,,,,,
Nigeria,Argentina,,D,,,,,,
Iceland,Croatia,,D,,,,,,
Mexico,Sweden,,F,,,,,,
South Korea,Germany,,F,,,,,,
Serbia,Brazil,,E,,,,,,
Switzerland,Costa Rica,,E,,,,,,
England,Belgium,,G,,,,,,
Senegal,Colombia,,H,,,,,,
Panama,Tunisia,,G,,,,,,
Japan,Poland,,H,,,,,,
